Point de vente;Code UIC;Date;TA > 30;TA > 60;Arrivés
Gare de Bordeaux St Jean;87581009.0;2019-01-07;0.0;0.0;826.0
Gare de Bordeaux St Jean;87581009.0;2019-01-10;56.0;0.0;672.0
Gare de Bordeaux St Jean;87581009.0;2019-01-13;0.0;0.0;620.0
Gare de Bordeaux St Jean;87581009.0;2019-01-18;33.0;0.0;894.0
Gare de Bordeaux St Jean;87581009.0;2019-01-28;0.0;0.0;721.0
Gare de Bordeaux St Jean;87581009.0;2019-02-03;0.0;0.0;725.0
Gare de Bordeaux St Jean;87581009.0;2019-02-10;0.0;0.0;660.0
Gare de Bordeaux St Jean;87581009.0;2019-02-16;66.0;4.0;708.0
Gare de Bordeaux St Jean;87581009.0;2019-02-28;39.0;0.0;719.0
Gare de Bordeaux St Jean;87581009.0;2019-03-03;0.0;0.0;725.0
Gare de Bordeaux St Jean;87581009.0;2019-03-06;36.0;0.0;839.0
Gare de Bordeaux St Jean;87581009.0;2019-03-09;0.0;0.0;698.0
Gare de Bordeaux St Jean;87581009.0;2019-03-15;2.0;0.0;925.0
Gare de Bordeaux St Jean;87581009.0;2019-03-19;2.0;0.0;3.0
Gare de Bordeaux St Jean;87581009.0;2019-03-21;32.0;0.0;800.0
Gare de Bordeaux St Jean;87581009.0;2019-03-26;49.0;1.0;764.0
Gare de Bordeaux St Jean;87581009.0;2019-03-27;0.0;0.0;732.0
Gare de Bordeaux St Jean;87581009.0;2019-04-03;100.0;24.0;686.0
Gare de Bordeaux St Jean;87581009.0;2019-04-07;0.0;0.0;465.0
Gare de Bordeaux St Jean;87581009.0;2019-04-09;110.0;0.0;661.0
Gare de Bordeaux St Jean;87581009.0;2019-04-25;62.0;12.0;669.0
Gare de Bordeaux St Jean;87581009.0;2019-05-02;45.0;0.0;826.0
Gare de Bordeaux St Jean;87581009.0;2019-05-03;92.0;0.0;921.0
Gare de Bordeaux St Jean;87581009.0;2019-05-06;50.0;0.0;869.0
Gare de Bordeaux St Jean;87581009.0;2019-05-12;2.0;0.0;618.0
Gare de Bordeaux St Jean;87581009.0;2019-05-13;201.0;0.0;808.0
Gare de Bordeaux St Jean;87581009.0;2019-05-14;56.0;0.0;516.0
Gare de Bordeaux St Jean;87581009.0;2019-05-29;97.0;30.0;720.0
Gare de Bordeaux St Jean;87581009.0;2019-06-05;150.0;32.0;602.0
Gare de Bordeaux St Jean;87581009.0;2019-06-07;69.0;0.0;626.0
